Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1200122,2300,52.68,54.16,54.16,52.68,52.68,54.16,54.16,52.68,32.92,9117922.00,1.48,2.34,8.85,5.30
1200123,2300,55.0,53.96,55.88,53.8,55.0,53.96,55.88,53.8,32.47,8732354.00,2.08,2.33,12.33,8.55
1200124,2300,53.08,56.96,58.12,52.84,53.08,56.96,58.12,52.84,44.66,25634252.00,5.28,2.38,22.98,14.72
1200127,2300,61.88,62.84,62.92,60.48,61.88,62.84,62.92,60.48,59.93,20675764.00,5.96,2.47,50.76,28.69
1200128,2300,61.32,59.32,61.8,59.04,61.32,59.32,61.8,59.04,50.88,13437247.00,3.80,2.52,68.33,47.36
1200129,2300,58.28,59.4,60.36,57.68,58.28,59.4,60.36,57.68,51.06,10450792.00,2.68,2.53,76.74,65.28
1200130,2300,61.68,58.4,63.0,58.4,61.68,58.4,63.0,58.4,48.65,16801751.00,4.60,2.56,62.24,69.11
1200131,2300,59.88,64.8,66.8,59.64,59.88,64.8,66.8,59.64,61.26,26894660.00,8.40,2.70,71.02,70.00
1200203,2300,63.16,62.32,64.08,60.88,63.16,62.32,64.08,60.88,55.57,13035963.00,3.92,2.75,71.44,68.24
1200204,2300,59.64,59.32,60.04,58.44,59.64,59.32,60.04,58.44,49.56,11827535.00,3.88,2.74,67.23,69.90
1200205,2300,57.16,56.8,58.92,56.8,57.16,56.8,58.92,56.8,45.15,11848837.00,2.52,2.75,48.45,62.37
1200206,2300,56.32,56.36,57.52,56.0,56.32,56.36,57.52,56.0,44.41,9674890.00,1.52,2.74,34.46,50.05
1200207,2300,57.76,57.52,58.68,56.6,57.76,57.52,58.68,56.6,46.89,11647698.00,2.32,2.72,30.23,37.72
1200210,2300,58.04,56.4,58.04,56.16,58.04,56.4,58.04,56.16,44.81,8922796.00,1.88,2.73,29.16,31.29
1200211,2300,55.52,56.48,56.72,55.2,55.52,56.48,56.72,55.2,45.00,9229958.00,1.52,2.74,29.04,29.48
1200212,2300,55.44,53.6,55.72,53.52,55.44,53.6,55.72,53.52,39.75,9982125.00,2.96,2.78,19.31,25.84
1200213,2300,55.52,54.76,55.88,54.12,55.52,54.76,55.88,54.12,42.65,8440809.00,2.28,2.73,13.69,20.68
1200214,2300,54.24,54.08,55.26,53.88,54.24,54.08,55.26,53.88,41.40,8393033.00,1.38,2.63,6.32,13.11
1200218,2300,54.92,55.04,56.12,54.28,54.92,55.04,56.12,54.28,43.91,10237785.00,2.04,2.58,8.33,9.45
1200219,2300,54.04,54.24,54.64,53.68,54.04,54.24,54.64,53.68,42.28,9042113.00,1.36,2.56,7.03,7.23
1200220,2300,54.44,56.16,57.96,54.0,54.44,56.16,57.96,54.0,47.33,20689247.00,3.96,2.58,12.25,9.20
1200221,2300,57.92,59.6,61.2,57.36,57.92,59.6,61.2,57.36,54.93,21625017.00,5.04,2.61,25.43,14.90
1200224,2300,68.64,70.68000000000001,71.0,65.40000000000001,68.64,70.68000000000001,71.0,65.40000000000001,69.97,36219321.00,11.40,2.78,62.63,33.44
1200225,2300,68.23999999999999,77.36,79.40000000000001,67.72,68.23999999999999,77.36,79.40000000000001,67.72,75.31,44979848.00,11.68,2.97,87.31,58.46
1200226,2300,74.88,75.72,78.56,72.28,74.88,75.72,78.56,72.28,71.93,33539327.00,6.28,3.01,91.28,80.41
1200227,2300,82.44,88.0,88.0,80.44,82.44,88.0,88.0,80.44,79.40,42263518.00,12.28,3.17,93.37,90.65
1200228,2300,98.08,91.23999999999999,100.0,90.72,98.08,91.23999999999999,100.0,90.72,80.84,36550644.00,12.00,3.36,88.36,91.00
1200302,2300,89.31999999999999,88.12,94.42,87.64,89.31999999999999,88.12,94.42,87.64,75.35,28015593.00,6.78,3.47,83.80,88.51
1200303,2300,88.08,97.8,100.31999999999999,84.34,88.08,97.8,100.31999999999999,84.34,79.91,31361131.00,15.98,3.76,83.43,85.20
1200304,2300,93.59999999999999,92.0,97.16,90.95999999999999,93.59999999999999,92.0,97.16,90.95999999999999,71.39,21855826.00,6.84,3.86,83.76,83.67
